종목코드,업종
006140,건강관리장비와용품
006910,전기장비
006920,건축자재
007330,기타금융
007370,제약
007820,기계
010470,광고
007720,판매업체
008370,화학
008470,기계
008830,기계
009300,제약
009620,비철금속
009780,식품
010280,IT서비스
011040,제약
011080,"섬유,의류,신발,호화품"
007390,생물공학
007770,화학
008290,"섬유,의류,신발,호화품"
010170,통신장비
010240,기계
012790,제약
013030,기계
013120,건설
013310,자동차부품
013720,자동차부품
011320,자동차부품
011370,건설
011560,건설
012340,전기제품
012700,석유와가스
012860,자동차부품
012620,철강
013810,건설
014190,화학
014200,기계
014570,제약
014940,조선
014970,포장재
013990,"섬유,의류,신발,호화품"
014470,가정용기기와용품
014620,기계
015710,통신장비
015750,자동차부품
016100,포장재
016600,창업투자
016670,소프트웨어
016920,전자장비와기기
017000,건설
017250,전자장비와기기
017480,철강
017510,전기장비
017650,포장재
017890,화학
018000,에너지장비및서비스
018120,음료
018290,화장품
018310,건축제품
018620,제약
018680,제약
018700,화장품
019010,백화점과일반상점
019210,기계
019540,자동차부품
019550,창업투자
019570,창업투자
019590,창업투자
019660,화장품
019770,자동차부품
019990,기계
020180,IT서비스
020400,자동차부품
020710,"호텔,레스토랑,레저"
021040,철강
021080,창업투자
021320,건설
021650,자동차부품
021880,기타금융
022220,건축제품
023160,기계
023410,건축자재
023460,자동차
023600,포장재
023760,기타금융
023770,게임엔터테인먼트
023790,철강
023900,화학
023910,제약
024060,석유와가스
024120,자동차부품
024740,자동차부품
024800,도로와철도운송
024830,자동차부품
024840,전기장비
024850,반도체와반도체장비
024880,기계
024910,자동차부품
024940,가정용기기와용품
024950,레저용장비와제품
025320,핸드셋
025440,자동차부품
025550,철강
025770,IT서비스
025870,식품
025880,식품
025900,건축자재
025950,건설
025980,"호텔,레스토랑,레저"
026040,"섬유,의류,신발,호화품"
026150,건설
026910,철강
027040,전자장비와기기
027050,화장품
027580,화학
027710,식품
027830,창업투자
028080,전자제품
028300,건강관리장비와용품
029480,전기제품
029960,상업서비스와공급품
030350,게임엔터테인먼트
030520,소프트웨어
030530,반도체와반도체장비
030960,상업서비스와공급품
031310,통신장비
031330,전자장비와기기
031510,자동차부품
031860,컴퓨터와주변기기
032080,"섬유,의류,신발,호화품"
032190,증권
032280,항공화물운송과물류
032500,통신장비
032540,전자제품
032580,반도체와반도체장비
032620,건강관리기술
032680,IT서비스
032750,전자제품
032790,컴퓨터와주변기기
032800,방송과엔터테인먼트
032850,건강관리기술
032940,화장품
032960,전자장비와기기
032980,석유와가스
033050,상업서비스와공급품
033100,전기장비
033130,IT서비스
033160,반도체와반도체장비
033170,반도체와반도체장비
033200,전자장비와기기
033230,통신장비
033290,항공화물운송과물류
033310,자동차부품
033320,컴퓨터와주변기기
033340,"섬유,의류,신발,호화품"
033500,화학
033540,기계
033560,핸드셋
033640,반도체와반도체장비
033830,방송과엔터테인먼트
034810,종이와목재
034940,제약
034950,상업서비스와공급품
035080,인터넷과카탈로그소매
035200,건축제품
035290,교육서비스
035460,통신장비
035600,IT서비스
035610,건강관리기술
035620,방송과엔터테인먼트
035810,식품
035890,건설
036000,출판
036010,전기제품
036030,인터넷과카탈로그소매
036090,디스플레이장비및부품
036120,상업서비스와공급품
036170,디스플레이장비및부품
036180,생명과학도구및서비스
036190,건설
036200,반도체와반도체장비
036480,제약
036540,반도체와반도체장비
036560,기계
036620,"섬유,의류,신발,호화품"
036630,다각화된통신서비스
036640,화학
036710,전자장비와기기
036800,상업서비스와공급품
037330,디스플레이장비및부품
037350,건설
037370,비철금속
037440,건설
037760,비철금속
038010,건축제품
038060,디스플레이장비및부품
038070,생물공학
036670,화학
036690,통신장비
036810,반도체와반도체장비
036890,기계
037070,가정용기기와용품
037230,포장재
037460,통신장비
037950,핸드셋
038110,자동차부품
038290,생명과학도구및서비스
038340,전기제품
038390,도로와철도운송
038460,전자장비와기기
038500,건축자재
038530,건강관리업체및서비스
038620,전문소매
038680,IT서비스
038870,에너지장비및서비스
038880,자동차부품
038950,전자제품
039020,건축자재
039200,생물공학
039240,철강
039290,IT서비스
039310,소프트웨어
039340,방송과엔터테인먼트
039420,IT서비스
039440,반도체와반도체장비
039560,통신장비
039610,기계
039740,판매업체
039830,레저용장비와제품
039840,건강관리장비와용품
039860,생명과학도구및서비스
039980,IT서비스
040160,소프트웨어
040300,방송과엔터테인먼트
040350,IT서비스
040420,교육서비스
040610,운송인프라
040910,디스플레이장비및부품
041020,자동차부품
041190,창업투자
041440,기계
041460,IT서비스
041510,방송과엔터테인먼트
041590,건설
041830,건강관리장비와용품
041910,제약
041920,건강관리장비와용품
041930,자동차부품
041960,제약
042040,화학
042110,전기제품
042370,전기장비
042420,게임엔터테인먼트
042500,IT서비스
042510,소프트웨어
042520,건강관리장비와용품
042600,가정용기기와용품
043090,판매업체
043150,건강관리장비와용품
043200,에너지장비및서비스
043260,전기제품
043340,기계
043360,컴퓨터와주변기기
043370,자동차부품
043590,전기제품
043610,방송과엔터테인먼트
043650,음료
043710,건강관리업체및서비스
043910,상업서비스와공급품
044060,기계
044340,가정용기기와용품
044480,제약
044490,에너지장비및서비스
044780,기계
044960,제약
045060,화학
045100,건설
045300,반도체와반도체장비
045340,운송인프라
045390,IT서비스
045510,IT서비스
045520,자동차부품
045660,컴퓨터와주변기기
045970,핸드셋
046070,자동차부품
046120,에너지장비및서비스
046310,전자장비와기기
046390,방송과엔터테인먼트
046440,IT서비스
046940,건설
046970,컴퓨터와주변기기
047080,게임엔터테인먼트
047310,핸드셋
047560,소프트웨어
047820,방송과엔터테인먼트
048410,화장품
048430,자동차부품
048470,철강
048530,생명과학도구및서비스
048550,광고
048770,기계
048830,화학
048870,건강관리장비와용품
048910,방송과엔터테인먼트
049070,핸드셋
049080,통신장비
049120,디스플레이장비및부품
049180,건설
049430,기계
049470,소프트웨어
049480,컴퓨터와주변기기
049520,핸드셋
049550,컴퓨터와주변기기
049630,핸드셋
049720,상업서비스와공급품
049830,포장재
049950,디스플레이장비및부품
049960,생물공학
050090,광고
050110,핸드셋
050120,레저용장비와제품
050760,화학
050860,기계
050890,통신장비
051160,식품과기본식료품소매
051360,디스플레이장비및부품
051370,전자장비와기기
051380,컴퓨터와주변기기
051390,판매업체
051490,기계
051500,식품과기본식료품소매
051780,식품
051980,통신장비
052020,전자장비와기기
052220,방송과엔터테인먼트
052260,화장품
052300,건축제품
052330,디스플레이패널
052400,IT서비스
052420,디스플레이장비및부품
052460,통신장비
052600,IT서비스
052670,제약
052710,핸드셋
052770,건강관리장비와용품
052790,게임엔터테인먼트
052860,반도체와반도체장비
052900,반도체와반도체장비
053030,제약
053050,가스유틸리티
053060,자동차부품
053160,기계
053260,철강
053270,자동차부품
053280,인터넷과카탈로그소매
053290,교육서비스
053300,IT서비스
053350,소프트웨어
053450,전자장비와기기
053610,반도체와반도체장비
053620,가정용품
053700,자동차부품
053800,소프트웨어
053950,제약
053980,소프트웨어
054040,디스플레이장비및부품
054050,생물공학
054090,전자장비와기기
054180,조선
054210,핸드셋
054220,IT서비스
054300,해운사
054410,비철금속
054450,반도체와반도체장비
054540,조선
054630,전자제품
054670,제약
054780,방송과엔터테인먼트
054800,컴퓨터와주변기기
054920,소프트웨어
054930,건설
054940,반도체와반도체장비
054950,건강관리장비와용품
056080,기계
056090,건강관리장비와용품
056360,통신장비
056700,디스플레이장비및부품
056730,건설
057030,교육서비스
057540,전자장비와기기
057680,IT서비스
058110,건강관리장비와용품
058400,방송과엔터테인먼트
058610,전기제품
058630,게임엔터테인먼트
058820,제약
059090,반도체와반도체장비
059100,디스플레이장비및부품
059120,반도체와반도체장비
059210,건강관리장비와용품
060150,상업서비스와공급품
060230,전자장비와기기
060260,건축제품
060280,판매업체
060310,기계
060370,건설
